Date,Open,High,Low,Close,Adj Close,Volume
2022-10-20,49.250000,53.000000,49.200001,52.700001,52.700001,18851
2022-10-21,53.700001,55.000000,53.500000,55.000000,55.000000,416923
2022-10-24,54.299999,55.700001,54.299999,54.599998,54.599998,7640
2022-10-25,55.099998,55.599998,53.799999,54.700001,54.700001,237969
2022-10-26,54.700001,55.599998,54.599998,55.200001,55.200001,28977
2022-10-27,55.500000,56.000000,55.200001,55.900002,55.900002,11843
2022-10-28,54.900002,55.299999,54.500000,55.299999,55.299999,9548
2022-10-31,55.000000,55.099998,54.000000,54.000000,54.000000,20323
2022-11-01,53.000000,53.299999,52.400002,52.900002,52.900002,33138
2022-11-02,52.400002,52.500000,51.700001,52.200001,52.200001,22625
2022-11-03,52.400002,52.700001,51.799999,52.700001,52.700001,28022
2022-11-04,52.799999,53.799999,52.400002,53.799999,53.799999,64801
2022-11-07,53.200001,58.000000,52.900002,55.000000,55.000000,32901
2022-11-08,53.599998,55.000000,53.599998,54.700001,54.700001,22283
2022-11-09,54.400002,54.400002,53.200001,53.700001,53.700001,33307
2022-11-10,51.700001,54.700001,51.700001,54.700001,54.700001,33462
2022-11-11,53.000000,53.099998,52.599998,53.000000,53.000000,31488
2022-11-14,53.000000,53.099998,52.200001,53.099998,53.099998,10810
2022-11-15,52.700001,54.000000,52.685799,54.000000,54.000000,21636
2022-11-16,53.000000,53.299999,52.400002,52.400002,52.400002,9178
2022-11-17,53.200001,53.200001,52.400002,52.599998,52.599998,3899
2022-11-18,52.900002,53.000000,52.700001,52.700001,52.700001,10923
2022-11-21,53.000000,53.000000,53.000000,53.000000,53.000000,6744
2022-11-22,53.099998,53.700001,53.099998,53.700001,53.700001,5845
2022-11-23,54.200001,54.200001,53.700001,54.099998,54.099998,23349
2022-11-24,53.599998,54.200001,53.599998,53.799999,53.799999,691
2022-11-25,54.500000,54.900002,54.400002,54.900002,54.900002,3364
2022-11-28,55.200001,55.400002,54.700001,55.200001,55.200001,18579
2022-11-29,55.000000,55.200001,54.700001,54.799999,54.799999,6038
2022-11-30,55.000000,56.599998,54.818901,56.000000,56.000000,40962
2022-12-01,56.000000,56.099998,55.500000,56.099998,56.099998,25534
2022-12-02,55.799999,55.900002,55.400002,55.400002,55.400002,5915
2022-12-05,55.400002,55.500000,54.900002,54.900002,54.900002,3199
2022-12-06,54.900002,55.200001,54.700001,54.799999,54.799999,6774
2022-12-07,55.799999,55.799999,55.099998,55.299999,55.299999,20829
